"Constant","Fixe",module,Magento_GoogleAdwords
"Conversion Color","Couleur de conversion",module,Magento_GoogleAdwords
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","%1 n'est pas une valeur valide pour la couleur de conversion. Veuillez renseigner une valeur hexadécimale sur 6 chiffres.",module,Magento_GoogleAdwords
"Conversion Format","Format de conversion",module,Magento_GoogleAdwords
"Conversion ID","ID de conversion",module,Magento_GoogleAdwords
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","""%1"" n'est pas une valeur valide pour l'ID de conversion. L'ID de conversion doit être un entier.",module,Magento_GoogleAdwords
"Conversion Label","Libellé de conversion",module,Magento_GoogleAdwords
"Conversion Language","Langue de Conversion",module,Magento_GoogleAdwords
"Conversion Value","Valeur de conversion",module,Magento_GoogleAdwords
"Conversion Value Type","Type de valeur de conversion",module,Magento_GoogleAdwords
"Dynamic","Dynamique",module,Magento_GoogleAdwords
"Enable","Activer",module,Magento_GoogleAdwords
"Google AdWords","Google AdWords",module,Magento_GoogleAdwords