"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","Après la sélection d'un nouvel emplacement de stockage des médias, appuyez sur le bouton ""Synchroniser"" pour transférer tous les médias à cet emplacement. Les médias ne seront pas disponibles dans le nouvel emplacement jusqu'à ce que le processus de synchronisation soit terminé.",module,Magento_MediaStorage
"database ""%1""","base de données ""%1""",module,Magento_MediaStorage
"Database","Base de données",module,Magento_MediaStorage
"Environment Update Time","Temps de mise à jour de l'environnement",module,Magento_MediaStorage
"File %1 does not exist","Le fichier %1 n'existe pas",module,Magento_MediaStorage
"File %1 is not readable","Le fichier %1 n'est pas lisible",module,Magento_MediaStorage
"File System","Système de fichiers",module,Magento_MediaStorage
"File system","Système de fichiers",module,Magento_MediaStorage
"File with an extension ""%value%"" is protected and cannot be uploaded","Le fichier avec l'extension ""%value%"" est protégé et ne peut pas être chargé",module,Magento_MediaStorage
"Media Storage","Stockage des médias",module,Magento_MediaStorage
"Parent directory does not exist: %1","Le répertoire parent n'existe pas : %1",module,Magento_MediaStorage
"Path ""%value%"" is not available and cannot be used.","Le chemin ""%value%"" n'est pas correct et ne peut pas être utilisé.",module,Magento_MediaStorage
"Path ""%value%"" is protected and cannot be used.","Le chemin ""%value%"" est protégé et ne peut pas être utilisé.",module,Magento_MediaStorage
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\).""","Le chemin ""%value%"" ne doit pas inclure de répertoire parent (""../"", ""..\"").",module,Magento_MediaStorage
"Please set available and/or protected paths list(s) before validation.","Veuillez renseigner correctement la liste des chemins avant validation.",module,Magento_MediaStorage
"Requested resource not found","Ressource non trouvée",module,Magento_MediaStorage
"Select Media Database","Sélectionner la base de données média",module,Magento_MediaStorage
"Storage Configuration for Media","Configuration du stockage des médias",module,Magento_MediaStorage
"Synchronize","Synchroniser",module,Magento_MediaStorage
"Synchronizing %1 to %2","Synchronisation en cours de %1 vers %2",module,Magento_MediaStorage
"Synchronizing...","Synchronisation en cours...",module,Magento_MediaStorage
"The timeout limit for response from synchronize process was reached.","La limite du délai d'attente de la réponse du processus de synchronisation a été atteinte.",module,Magento_MediaStorage
"Unable to create directory: %1","Impossible de créer le répertoire: %1",module,Magento_MediaStorage
"Unable to save file: %1","Impossible de sauvegarder le fichier : %1",module,Magento_MediaStorage
"Unable to save file ""%1"" at ""%2""","Impossible de sauvegarder le fichier ""%1"" sur ""%2""",module,Magento_MediaStorage
"Wrong file info format","Mauvais format d'informations de fichier",module,Magento_MediaStorage