"Admin","Admin",module,Magento_Store
"All Stores","Toutes les boutiques",module,Magento_Store
"All Store Views","Toutes les vues magasin",module,Magento_Store
"API interfaces reflection data.","Données de l'API reflection.",module,Magento_Store
"Attribute","Attribut",module,Magento_Store
"Blocks HTML output","Sortie de blocs HTML",module,Magento_Store
"Collection data files.","Fichiers de données de collection.",module,Magento_Store
"Collections Data","Données de collections",module,Magento_Store
"Configuration","Configuration",module,Magento_Store
"Current store is not active.","La boutique actuel n'est pas actif.",module,Magento_Store
"Database DDL operations","Requêtes DDL sur la base de données",module,Magento_Store
"Default store is inactive","La boutique par défaut est désactivé",module,Magento_Store
"Default website is not defined","Le site web par défaut n'est pas défini",module,Magento_Store
"Environment emulation nesting is not allowed.","L'imbrication d'émulation d'environnement n'est pas autorisée.",module,Magento_Store
"Helper arguments should not be used in custom layout updates.","Les arguments du Helper ne peuvent être utilisées dans les custom layout updates.",module,Magento_Store
"Invalid scope object","Portée de l'objet invalide",module,Magento_Store
"Invalid store parameter.","Paramètres boutique invalide",module,Magento_Store
"Language","Langue",module,Magento_Store
"Layout building instructions.","Instructions de construction d'agencement.",module,Magento_Store
"Layouts","Agencements",module,Magento_Store
"More than one default website is defined","Plus d'un site web par défaut est défini",module,Magento_Store
"Name is required","Le nom est requis",module,Magento_Store
"Only default scope allowed","Seule la portée par défaut est autorisée",module,Magento_Store
"Other Settings","Autres réglages",module,Magento_Store
"Page blocks HTML.","Code HTML des blocs de page.",module,Magento_Store
"Paths to pre-processed view files (e.g, CSS files with fixed paths or generated from LESS files).","Chemin pour le prétraitement des fichiers de vues (ex : fichiers CSS avec préfixes chemin ou générés depuis des fichiers LESS).",module,Magento_Store
"Paths to view files (e.g., PHTML templates, images, CSS, JS files).","Chemins des fichiers de vues (ex : PHTML templates, images, CSS, fichiers JS).",module,Magento_Store
"Please correct the XML data and try again. %value%","Veuillez corriger les données XML et essayer à nouveau. %value%",module,Magento_Store
"-- Please Select --","-- Faire un choix --",module,Magento_Store
"Reflection Data","Données de réflexion",module,Magento_Store
"Requested store is inactive","La boutique est inactive",module,Magento_Store
"Requested store is not found","La boutique est introuvable",module,Magento_Store
"Results of DDL queries, such as describing tables or indexes.","Résultats des requêtes DDL, comme la description des tables et des index.",module,Magento_Store
"Select Store","Choisir une boutique",module,Magento_Store
"Store is inactive","Boutique désactivée",module,Magento_Store
"Store with the same code","Boutique avec le même code",module,Magento_Store
"The store code may contain only letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code de la boutique ne peut contenir que des lettres (a-z), nombres (0-9) ou underscore (_). Le premier caractère doit être une lettre.",module,Magento_Store
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_),' ' the first character must be a letter","Le code boutique doit contenir uniquement des lettres (a-z), nombres (0-9) underscore (_),' ' le premier caractère doit être une lettre",module,Magento_Store
"Updater model should not be used in custom layout updates.","Un modèle Updater ne doit pas être utilisé dans un layout.",module,Magento_Store
"Various XML configurations that were collected across modules and merged.","Plusieurs configurations XML ont été récupérées dans les modules et ont été fusionnées.",module,Magento_Store
"Website code may only contain letters (a-z), numbers (0-9) or underscore (_), and the first character must be a letter.","Le code du site web ne peut contenir que des lettres (a-z), nombres (0-9) ou underscore (_). Le premier caractère doit être une lettre.",module,Magento_Store
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Le code de site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou underscore (_). Le premier caractère doit être une lettre",module,Magento_Store
"Website with the same code","Site web avec le même code",module,Magento_Store
"Your Language:","Votre langue :",module,Magento_Store
"Your Language","Votre langue",module,Magento_Store