"%1","%1",module,Magento_Widget
"Add Layout Update","Ajouter une mise à jour d'agencement",module,Magento_Widget
"Add New Widget Instance","Ajouter une nouvelle instance de widget",module,Magento_Widget
"Add Widget","Ajouter un Widget",module,Magento_Widget
"All","Tous",module,Magento_Widget
"All Pages","Toutes les pages",module,Magento_Widget
"All Product Types","Tous les types de produits",module,Magento_Widget
"Anchor Categories","Catégorie ancrée",module,Magento_Widget
"Anchor Custom Title","Présenter un titre personnalisé",module,Magento_Widget
"Apply","Appliquer",module,Magento_Widget
"Assign to Store Views","Assigner aux vues magasin",module,Magento_Widget
"Categories","Catégories",module,Magento_Widget
"Choose...","Choisir...",module,Magento_Widget
"Close","Fermer",module,Magento_Widget
"CMS","CMS",module,Magento_Widget
"CMS Page Link Block Template","Gabarit du bloc lien page CMS",module,Magento_Widget
"CMS Page Link Inline Template","Gabarit du bloc lien en ligne CMS",module,Magento_Widget
"Conditions","Conditions",module,Magento_Widget
"Container","Container",module,Magento_Widget
"Continue","Continuer",module,Magento_Widget
"Custom Layouts","Mises en page personnalisées",module,Magento_Widget
"Defines whether a link to My Account","Détermine l'affichage d'un lien vers ""Mon Compte""",module,Magento_Widget
"description","description",module,Magento_Widget
"Design Package/Theme","Interface/Thème de design",module,Magento_Widget
"Design Theme","Thème de design",module,Magento_Widget
"Display a Link to Loading a Spreadsheet","Afficher un lien pour charger une feuille de calcul",module,Magento_Widget
"Frontend Properties","Propriétés du frontend",module,Magento_Widget
"Generic Pages","Pages génériques",module,Magento_Widget
"Insert Widget","Insérer un widget",module,Magento_Widget
"label","libellé",module,Magento_Widget
"Layout Updates","Mises à jour d'agencements",module,Magento_Widget
"Link Text","Texte du lien",module,Magento_Widget
"Load a list of SKUs","Charge une liste de SKUs",module,Magento_Widget
"Manage Widget Instances","Gérer les instances de widgets",module,Magento_Widget
"name","nom",module,Magento_Widget
"New Widget","Nouveau widget",module,Magento_Widget
"New Widget Instance","Nouvelle instance de widget",module,Magento_Widget
"Non-Anchor Categories","Catégories non ancrées",module,Magento_Widget
"None","Aucun",module,Magento_Widget
"Not Selected","Non sélectionné",module,Magento_Widget
"Open Chooser","Ouvrir le sélecteur",module,Magento_Widget
"Orders and Returns","Commandes et retours",module,Magento_Widget
"Orders and Returns Search Form","Formulaire de recherche de commandes et retours",module,Magento_Widget
"Page","Page",module,Magento_Widget
"Page Layouts","Mises en page",module,Magento_Widget
"-- Please Select --","-- Faire un choix --",module,Magento_Widget
"Please Select Container First","Veuillez sélectionner le conteneur en premier",module,Magento_Widget
"Please specify a correct widget.","Veuillez spécifier un widget valide.",module,Magento_Widget
"Please specify a Widget Type.","Veuillez spécifier un type de widget.",module,Magento_Widget
"Product","Produit",module,Magento_Widget
"Products","Produits",module,Magento_Widget
"Remove Layout Update","Supprimer la mise à jour d'agencement",module,Magento_Widget
"Save and Continue Edit","Enregistrer et continuer la modification",module,Magento_Widget
"Select Product...","Sélectionner un produit...",module,Magento_Widget
"Settings","Paramètres",module,Magento_Widget
"Sort Order","Ordre de Tri",module,Magento_Widget
"Sort Order of widget instances in the same container","Ordre de tri des instances de widget dans un même conteneur",module,Magento_Widget
"Specific %1","Spécifique à %1",module,Magento_Widget
"Specified Page","Page spécifiée",module,Magento_Widget
"Storefront Properties","Propritétés du front office",module,Magento_Widget
"Template","Gabarit",module,Magento_Widget
"The text of the link to the My Account &gt; Order by SKU page","Le texte du lien ""Mon Compte"" &gt; ""Commande par SKU""",module,Magento_Widget
"The widget instance has been deleted.","L'instance de widget a bien été effacée.",module,Magento_Widget
"The widget instance has been saved.","L'instance de widget a bien été sauvegardée.",module,Magento_Widget
"Type","Type",module,Magento_Widget
"We cannot create the widget instance because it is missing required information.","Impossible de créer l'instance du widget car il manque des informations requises.",module,Magento_Widget
"Widget ""%1""","Widget ""%1""",module,Magento_Widget
"Widget","Widget",module,Magento_Widget
"Widget ID","ID de widget",module,Magento_Widget
"Widget Insertion","Insertion de widget",module,Magento_Widget
"Widget Instance","Instance de widget",module,Magento_Widget
"Widget Instance Title","Titre de l'instance de widget",module,Magento_Widget
"Widget Options","Options du widget",module,Magento_Widget
"Widgets","Widgets",module,Magento_Widget
"Widget Title","Titre du widget",module,Magento_Widget
"Widget Type","Type de widget",module,Magento_Widget