"1 item in wish list","1 article dans la liste d'envies",theme,frontend/Magento/luma
"%1 items in wish list","%1 articles dans la liste d'envies",theme,frontend/Magento/luma
"About Us","Qui sommes-nous ?",theme,frontend/Magento/luma
"Add to Compare","Ajouter au comparateur",theme,frontend/Magento/luma
"Add to Wish List","Ajouter à ma liste d'envie",theme,frontend/Magento/luma
"Billing Info","Informations de facturation",theme,frontend/Magento/luma
"Card Verification Number","Numéro de cryptogramme",theme,frontend/Magento/luma
"Check the status of orders","Vérifier le statut des commandes",theme,frontend/Magento/luma
"Clear All","Tout Supprimer",theme,frontend/Magento/luma
"Continue to Shipping Information","Poursuivre vers les informations de livraison",theme,frontend/Magento/luma
"Copy Selected to Wish List","Copier la sélection vers la liste d'envies",theme,frontend/Magento/luma
"Copy to Wish List","Copier vers la liste d'envies",theme,frontend/Magento/luma
"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"Customer Service","Service client",theme,frontend/Magento/luma
"Email:","Email :",theme,frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Mot de passe oublié ? Cliquez <a href=""%reset_url"">ici</a> pour le réinitialiser.",theme,frontend/Magento/luma
"For shipping to multiple family members and friends","Pour expédier à votre famille ou à vos amis",theme,frontend/Magento/luma
"Grand Total","Montant global",theme,frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Heures d'ouverture :<br><span class=""no-link"">%store_hours</span>.",theme,frontend/Magento/luma
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Si vous avez des questions concernant votre commande, vous pouvez nous envoyer un email à <a href=""mailto:%store_email"">%store_email</a>.",theme,frontend/Magento/luma
"Items %1-%2 of %3","Produits %1-%2 sur %3",theme,frontend/Magento/luma
"Manage Addresses","Gérer les adresses",theme,frontend/Magento/luma
"Move Selected to Wish List","Déplacer la liste d'envies",theme,frontend/Magento/luma
"Move to Wish List","Ajouter à la liste d'envies",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
"Now Shopping by","Acheter par",theme,frontend/Magento/luma
"Once your package ships we will send you a tracking number.","Un numéro de suivi vous sera envoyé lorsque votre commande sera expédiée.",theme,frontend/Magento/luma
"Order History","Historique commande",theme,frontend/Magento/luma
"Order Status","Statut de la commande",theme,frontend/Magento/luma
"Password:","Mot de passe :",theme,frontend/Magento/luma
"Password you set when creating account","Mot de passe que vous avez défini lors de la création de votre compte",theme,frontend/Magento/luma
"Payment Method","Mode de paiement",theme,frontend/Magento/luma
"Placed on <span class=""no-link"">%created_at</span>","Passée le <span class=""no-link"">%created_at</span>",theme,frontend/Magento/luma
"Previous","Précédent",theme,frontend/Magento/luma
"Print Order","Imprimer la commande",theme,frontend/Magento/luma
"Proceed through checkout faster","Passer vos commandes plus rapidement",theme,frontend/Magento/luma
"Proceed to Checkout","Commander",theme,frontend/Magento/luma
"Quick Checkout","Commande Rapide",theme,frontend/Magento/luma
"Regular Price","Prix normal",theme,frontend/Magento/luma
"Remove","Supprimer",theme,frontend/Magento/luma
"Remove item","Supprimer l'élément",theme,frontend/Magento/luma
"Remove This Item","Supprimer cet Élément",theme,frontend/Magento/luma
"Review by","Soumis par",theme,frontend/Magento/luma
"Shipping Info","Informations de livraison",theme,frontend/Magento/luma
"Shipping Method","Méthode de livraison",theme,frontend/Magento/luma
"Shop By","Filtrer par",theme,frontend/Magento/luma
"Shopping Options","Affiner les options",theme,frontend/Magento/luma
"Store alternative addresses","Sauvegarder plusieurs adresses",theme,frontend/Magento/luma
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>",theme,frontend/Magento/luma
"Thank you for your order from %store_name.","Merci pour votre commande sur %store_name.",theme,frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pour vous connecter, utilisez les identifiants renseignés lors de votre commande ou en vous rendant sur la page <a href=""%customer_url"">Mon Compte</a> :",theme,frontend/Magento/luma
"Update Shopping Cart","Mettre à jour le panier",theme,frontend/Magento/luma
"View Order","Voir la commande",theme,frontend/Magento/luma
"View past orders","Voir vos précédentes commandes",theme,frontend/Magento/luma
"Welcome to %store_name.","Bienvenue sur %store_name.",theme,frontend/Magento/luma
"When you sign in to your account, you will be able to:","Lorsque vous êtes connecté à votre compte, vous pouvez :",theme,frontend/Magento/luma
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Vous pouvez suivre le statut de votre commande en <a href=""%account_url"">vous connectant à votre compte</a>.",theme,frontend/Magento/luma
"Your Checkout Progress","Avancement de votre commande",theme,frontend/Magento/luma
"Your Credit Memo #%creditmemo_id for Order #%order_id","Votre avoir #%creditmemo_id pour la commande #%order_id",theme,frontend/Magento/luma
"Your Invoice #%invoice_id for Order #%order_id","Votre facture #%invoice_id pour la commande #%order_id",theme,frontend/Magento/luma
"Your Order <span class=""no-link"">#%increment_id</span>","Votre commande <span class=""no-link"">#%increment_id</span>",theme,frontend/Magento/luma
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Votre commande #%increment_id a été mise à jour avec le statut <strong>%order_status</strong>.",theme,frontend/Magento/luma
"Your Shipment #%shipment_id for Order #%order_id","Livraison #%shipment_id pour la commande #%order_id",theme,frontend/Magento/luma
"Your shipping confirmation is below. Thank you again for your business.","Voici votre confirmation d'expédition. Encore merci de votre achat.",theme,frontend/Magento/luma